file_path,class_name,method_name,http_method,endpoint_url,flat_permissions,inferred_page_slug,inferred_crud_action
SMBackend/src/main/java/com/School/School_management/Controller/SupplierController.java,SupplierController,delete,DELETE,/api/suppliers/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,suppliers,delete
SMBackend/src/main/java/com/School/School_management/Controller/SupplierController.java,SupplierController,getById,GET,/api/suppliers/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,suppliers,view
SMBackend/src/main/java/com/School/School_management/Controller/SupplierController.java,SupplierController,update,PUT,/api/suppliers/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,suppliers,edit
SMBackend/src/main/java/com/School/School_management/Controller/SyllabusController.java,SyllabusController,createSyllabus,POST,/api/syllabuses/multipart/form-data,SYLLABUS_MANAGE|SYLLABUS_MANAGE_ASSIGNED|*|multipart/form-data,syllabuses,add
SMBackend/src/main/java/com/School/School_management/Controller/SyllabusController.java,SyllabusController,deleteSyllabus,DELETE,/api/syllabuses/{id},SYLLABUS_MANAGE|SYLLABUS_MANAGE_ASSIGNED|*|/{id},syllabuses,delete
SMBackend/src/main/java/com/School/School_management/Controller/SyllabusController.java,SyllabusController,downloadFile,GET,/api/syllabuses/{id}/file,SYLLABUS_MANAGE|SYLLABUS_MANAGE_ASSIGNED|SYLLABUS_VIEW_OWN|SYLLABUS_VIEW_CHILD|*|/{id}/file,syllabuses,view
SMBackend/src/main/java/com/School/School_management/Controller/SyllabusController.java,SyllabusController,getAllSyllabuses,GET,/api/syllabuses,SYLLABUS_MANAGE|SYLLABUS_MANAGE_ASSIGNED|SYLLABUS_VIEW_OWN|SYLLABUS_VIEW_CHILD|*,syllabuses,view
SMBackend/src/main/java/com/School/School_management/Controller/SyllabusController.java,SyllabusController,getSyllabusById,GET,/api/syllabuses/{id},SYLLABUS_MANAGE|SYLLABUS_MANAGE_ASSIGNED|SYLLABUS_VIEW_OWN|SYLLABUS_VIEW_CHILD|*|/{id},syllabuses,view
SMBackend/src/main/java/com/School/School_management/Controller/SyllabusController.java,SyllabusController,updateSyllabus,PUT,/api/syllabuses/{id},SYLLABUS_MANAGE|SYLLABUS_MANAGE_ASSIGNED|*|/{id}|multipart/form-data,syllabuses,edit
SMBackend/src/main/java/com/School/School_management/Controller/TodoTaskController.java,TodoTaskController,delete,DELETE,/api/todo-tasks/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,todo-tasks,delete
SMBackend/src/main/java/com/School/School_management/Controller/TodoTaskController.java,TodoTaskController,update,PUT,/api/todo-tasks/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,todo-tasks,edit
SMBackend/src/main/java/com/School/School_management/Controller/TopicController.java,TopicController,create,POST,/api/topics,TOPIC_MANAGE|TOPIC_MANAGE_ASSIGNED|*,topic,add
SMBackend/src/main/java/com/School/School_management/Controller/TopicController.java,TopicController,delete,DELETE,/api/topics/{id},TOPIC_MANAGE|TOPIC_MANAGE_ASSIGNED|*|/{id},topic,delete
SMBackend/src/main/java/com/School/School_management/Controller/TopicController.java,TopicController,getAll,GET,/api/topics,TOPIC_MANAGE|TOPIC_MANAGE_ASSIGNED|TOPIC_VIEW_OWN|TOPIC_VIEW_CHILD|*,topic,view
SMBackend/src/main/java/com/School/School_management/Controller/TopicController.java,TopicController,update,PUT,/api/topics/{id},TOPIC_MANAGE|TOPIC_MANAGE_ASSIGNED|*|/{id},topic,edit
SMBackend/src/main/java/com/School/School_management/Controller/TransportRouteController.java,TransportRouteController,delete,DELETE,/api/transport-routes/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,transport-routes,delete
SMBackend/src/main/java/com/School/School_management/Controller/TransportRouteController.java,TransportRouteController,getById,GET,/api/transport-routes/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,transport-routes,view
SMBackend/src/main/java/com/School/School_management/Controller/TransportRouteController.java,TransportRouteController,update,PUT,/api/transport-routes/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,transport-routes,edit
SMBackend/src/main/java/com/School/School_management/Controller/VehicleController.java,VehicleController,delete,DELETE,/api/vehicles/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,vehicles,delete
SMBackend/src/main/java/com/School/School_management/Controller/VehicleController.java,VehicleController,getById,GET,/api/vehicles/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,vehicles,view
SMBackend/src/main/java/com/School/School_management/Controller/VehicleController.java,VehicleController,update,PUT,/api/vehicles/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,vehicles,edit
SMBackend/src/main/java/com/School/School_management/Controller/WarehouseController.java,WarehouseController,delete,DELETE,/api/warehouses/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,warehouses,delete
SMBackend/src/main/java/com/School/School_management/Controller/WarehouseController.java,WarehouseController,getById,GET,/api/warehouses/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,warehouses,view
SMBackend/src/main/java/com/School/School_management/Controller/WarehouseController.java,WarehouseController,update,PUT,/api/warehouses/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,warehouses,edit
